10,KEY,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,PUBLISH,IN_MENU,TYPOLOGIE,LEVEL,DESCRIPTION,EDITO,ID,URL
20,VO20,Démarches et services,,,,1,0,HUB,,,,,
30,VO30,Démarches et services,état-civil - citoyenneté,,,1,0,HUB,,,,,
40,VO40,Démarches et services,état-civil - citoyenneté,"Demande d'actes (naissance, mariage, décès)",,1,0,SER,,,,2037,
50,VO50,Démarches et services,état-civil - citoyenneté,"Carte d'identité (renseignements, pièces à fournir)",,1,0,SER,,,,2035,
60,VO60,Démarches et services,état-civil - citoyenneté,Carte d'identité ( rendez-vous pour le dépôt de dossier),,1,0,SER,,,,2034,
70,VO70,Démarches et services,état-civil - citoyenneté,"Passeport (renseignements, pièces à fournir)",,1,0,SER,,,,2035,
80,VO80,Démarches et services,état-civil - citoyenneté,Passeport (rendez-vous pour le dépôt de dossier),,1,0,SER,,,,2034,
90,VO90,Démarches et services,état-civil - citoyenneté,Demande de changement de nom de famille,,1,0,SER,,,,2172,
100,VO100,Démarches et services,état-civil - citoyenneté,Livret de famille (1ère demande ou duplicata),,1,0,SER,,,,2033,
110,VO110,Démarches et services,état-civil - citoyenneté,Livret de famille (mise à jour),,1,0,SER,,,,2032,
120,VO120,Démarches et services,état-civil - citoyenneté,Carte électorale (renseignements),,1,0,INFO,,,,,page_200#!/particuliers/page/N47
130,VO130,Démarches et services,état-civil - citoyenneté,PACS (dépôt de dossier),,1,0,SER,,,,2031,
140,VO140,Démarches et services,état-civil - citoyenneté,Mariage (dépôt de dossier),,1,0,SER,,,,2030,
150,VO150,Démarches et services,état-civil - citoyenneté,Parrainage civil  (dépôt de dossier),,1,0,SER,,,,2029,
160,VO160,Démarches et services,état-civil - citoyenneté,Renouvellement des vœux de mariage (dépôt de dossier),,1,0,SER,,,,,
170,VO170,Démarches et services,état-civil - citoyenneté,Attestation d'accueil (renseignements),,1,0,INFO,,,,2027,
